,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch_depth,params_net_arch_width,params_ortho_init,params_vf_coef,state
0,0,-1108.6,2025-10-12 22:17:30.863804,2025-10-12 22:17:36.861307,0 days 00:00:05.997503,elu,8,0.3,1.259433098171927e-05,0.9,0.98,0.44234319784546894,linear,0.5,1,32,2,16,True,0.6330515690842513,COMPLETE
1,1,-28.4,2025-10-12 22:17:36.861539,2025-10-12 22:17:42.970325,0 days 00:00:06.108786,leaky_relu,512,0.1,0.0015768738241811726,0.99,0.95,0.0002768993754102662,constant,1.0,5,2048,2,32,False,0.2676079650485921,COMPLETE
2,2,-61.0,2025-10-12 22:17:42.970452,2025-10-12 22:17:50.299878,0 days 00:00:07.329426,elu,256,0.4,8.346996132333632e-05,1.0,0.99,5.8975423344456594e-05,constant,1.0,1,64,2,8,True,0.08607158294600581,COMPLETE
3,3,-1.0,2025-10-12 22:17:50.299997,2025-10-12 22:18:10.688891,0 days 00:00:20.388894,leaky_relu,32,0.3,8.757594137684454e-07,0.99,0.9,0.034397925849699716,linear,0.7,1,128,2,64,True,0.8139574329056927,COMPLETE
4,4,-267.0,2025-10-12 22:18:10.688997,2025-10-12 22:18:40.969865,0 days 00:00:30.280868,relu,128,0.3,4.5944079203114205e-06,0.95,0.99,0.16982481183968876,linear,0.9,20,8,1,128,False,0.5305381190534203,COMPLETE
5,5,-169.2,2025-10-12 22:18:40.969988,2025-10-12 22:19:05.899891,0 days 00:00:24.929903,elu,512,0.3,3.622409368682757e-05,0.9,0.999,5.274853030484671e-05,linear,0.6,20,128,3,32,False,0.1924053123421834,COMPLETE
6,6,-1036.6,2025-10-12 22:19:05.900010,2025-10-12 22:20:38.334943,0 days 00:01:32.434933,elu,8,0.1,0.01735369522923947,1.0,0.8,0.022537639338399102,linear,0.7,20,32,1,512,False,0.7717461722032893,COMPLETE
7,7,-1.0,2025-10-12 22:20:38.335061,2025-10-12 22:20:45.516770,0 days 00:00:07.181709,relu,128,0.4,5.699980366503619e-05,0.92,0.9,8.740628887145597e-05,linear,0.6,1,16,1,512,False,0.5106458532604038,COMPLETE
8,8,-269.0,2025-10-12 22:20:45.516894,2025-10-12 22:21:04.045507,0 days 00:00:18.528613,leaky_relu,16,0.4,9.293603707221144e-07,0.99,0.5,0.2129889068169973,constant,0.8,20,32,3,64,False,0.5860512440049251,COMPLETE
9,9,-898.2,2025-10-12 22:21:04.045627,2025-10-12 22:21:31.150834,0 days 00:00:27.105207,relu,512,0.1,9.032376905386205e-08,0.98,0.8,0.4148251418128744,linear,0.9,5,512,3,128,True,0.5181344526364622,COMPLETE
10,10,-433.4,2025-10-12 22:21:31.150955,2025-10-12 22:21:49.564416,0 days 00:00:18.413461,leaky_relu,1024,0.3,1.5409990683269767e-06,0.99,0.99,0.10580397526732542,linear,1.0,20,128,1,64,True,0.762646827461873,COMPLETE
11,11,-267.2,2025-10-12 22:21:49.564541,2025-10-12 22:21:55.463953,0 days 00:00:05.899412,leaky_relu,128,0.4,3.221843361352697e-05,0.92,0.9,0.00031223513379971367,constant,0.6,1,1024,1,512,False,0.5522692257927502,COMPLETE
12,12,-61.4,2025-10-12 22:21:55.464073,2025-10-12 22:22:02.482959,0 days 00:00:07.018886,relu,128,0.4,1.0201365468270257e-05,0.95,0.9,2.3564307009664527e-05,linear,0.6,1,16,2,16,False,0.4624936597257397,COMPLETE
13,13,-22.4,2025-10-12 22:22:02.483064,2025-10-12 22:22:21.340053,0 days 00:00:18.856989,leaky_relu,1024,0.3,8.882885603829423e-05,1.0,0.9,0.0011345987151364957,linear,0.5,1,128,3,8,True,0.6415557913440737,COMPLETE
14,14,-59.6,2025-10-12 22:22:21.340169,2025-10-12 22:22:29.071872,0 days 00:00:07.731703,relu,16,0.1,0.00024494686310832196,0.92,0.9,0.0011415833019304037,linear,0.3,1,512,2,512,False,0.3064185116541601,COMPLETE
15,15,-1058.4,2025-10-12 22:22:29.072004,2025-10-12 22:22:57.178991,0 days 00:00:28.106987,leaky_relu,128,0.3,1.4698483275639341e-05,0.99,0.9,0.03675510133684659,linear,0.7,1,128,2,256,False,0.758366062194509,COMPLETE
